team_name,score,week,opponent,opponent_score
San Clemente  Beaters ,118.7,Week 15,The Vaccination 🥶,119.82
The Vaccination 🥶,119.82,Week 15,San Clemente  Beaters ,118.7
Wuhan Bats,132.68,Week 15,Arizona Vipers,126.24
Arizona Vipers,126.24,Week 15,Wuhan Bats,132.68
 Mighty BetaFish,133.26,Week 15,Show Me Your TD’s,126.72
Show Me Your TD’s,126.72,Week 15, Mighty BetaFish,133.26
877 CASH NOW,139.62,Week 15,The Tempe Turriblez,106.96
The Tempe Turriblez,106.96,Week 15,877 CASH NOW,139.62
My Football CLUB ,64.1,Week 15,Deshaun's W's,100.12
Deshaun's W's,100.12,Week 15,My Football CLUB ,64.1
The Vaccination 🥶,156.38,Week 16,Simp Alert,97.68
Simp Alert,97.68,Week 16,The Vaccination 🥶,156.38
San Clemente  Beaters ,144.04,Week 16,Unger the Influence,120.1
Unger the Influence,120.1,Week 16,San Clemente  Beaters ,144.04
Wuhan Bats,106.08,Week 16,Arizona Vipers,134.4
Arizona Vipers,134.4,Week 16,Wuhan Bats,106.08
877 CASH NOW,83.24,Week 16, Mighty BetaFish,122.66
 Mighty BetaFish,122.66,Week 16,877 CASH NOW,83.24
Deshaun's W's,180.28,Week 16,Show Me Your TD’s,160.12
Show Me Your TD’s,160.12,Week 16,Deshaun's W's,180.28
My Football CLUB ,83.82,Week 16,The Tempe Turriblez,94.22
The Tempe Turriblez,94.22,Week 16,My Football CLUB ,83.82
